"IUCN Red List version 2019-2: Table 6a
Last updated: 18 July 2019",,,,,,,,,,,,,
,,,,,,,,,,,,,
Table 6a: Red List Category summary country totals (Animals),,,,,,,,,,,,,
,,,,,,,,,,,,,
"IUCN Red List Categories:  EX - Extinct, EW - Extinct in the Wild, CR - Critically Endangered, EN - Endangered, VU - Vulnerable, LR/cd - Lower Risk/conservation dependent, NT - Near Threatened (includes LR/nt - Lower Risk/near threatened), DD - Data Deficient, LC - Least Concern (includes LR/lc - Lower Risk, least concern).",,,,,,,,,,,,,
AFRICA,,,,,,,,,,,,,
North Africa,EX,EW,Subtotal,CR,EN,VU,Subtotal,NT,LR/cd,DD,LC,Total,
Algeria,2,1,3,14,37,70,121,58,0,140,918,"1,240",
Egypt,1,1,2,10,27,124,161,135,2,168,"1,673","2,141",
Libya,0,1,1,7,15,39,61,28,0,68,681,839,
Morocco,2,0,2,25,58,89,172,82,0,181,"1,431","1,868",
Tunisia,11,0,11,12,24,55,91,47,0,99,843,"1,091",
Western Sahara,0,1,1,4,13,33,50,32,0,108,916,"1,107",
,,,,,,,,,,,,,
Sub-Saharan Africa,EX,EW,Subtotal,CR,EN,VU,Subtotal,NT,LR/cd,DD,LC,Total,
Angola,0,0,0,12,33,77,122,60,0,233,"2,493","2,908",
Benin,0,0,0,10,17,53,80,49,0,111,"1,686","1,926",
Botswana,0,0,0,4,7,19,30,29,0,10,"1,010","1,079",
Burkina Faso,0,1,1,5,6,18,29,22,0,3,788,843,
Burundi,0,0,0,6,14,32,52,40,0,36,"1,063","1,191",
Cabo Verde,1,0,1,6,18,42,66,31,0,99,891,"1,088",
Cameroon,0,0,0,61,104,128,293,79,0,215,"2,640","3,227",
Central African Republic,0,0,0,8,6,26,40,25,0,48,"1,379","1,492",
Chad,0,1,1,11,5,26,42,20,0,13,835,911,
Comoros,0,0,0,4,26,84,114,107,0,80,"1,240","1,541",
Congo,0,0,0,9,18,66,93,43,0,150,"2,011","2,297",
"Congo, The Democratic Republic of the",0,0,0,29,68,145,242,91,0,434,"3,600","4,367",
Côte d'Ivoire,0,0,0,16,32,93,141,92,0,145,"2,006","2,384",
Djibouti,0,0,0,8,15,83,106,121,0,104,"1,361","1,692",
Equatorial Guinea,0,0,0,11,28,53,92,38,0,117,"1,589","1,836",
Eritrea,0,0,0,12,19,101,132,135,0,113,"1,532","1,912",
Eswatini,0,0,0,4,6,18,28,22,0,6,769,825,
Ethiopia,0,0,0,17,38,59,114,43,0,63,"1,364","1,584",
Gabon,0,0,0,9,30,71,110,44,0,172,"2,046","2,372",
Gambia,0,0,0,12,12,46,70,46,0,115,"1,508","1,739",
Ghana,0,0,0,17,23,85,125,78,0,139,"2,097","2,439",
Guinea,0,0,0,17,37,98,152,87,0,164,"1,994","2,397",
Guinea-Bissau,0,0,0,9,15,53,77,49,0,116,"1,495","1,737",
Kenya,2,0,2,47,61,160,268,181,2,247,"3,182","3,882",
Lesotho,0,0,0,0,6,10,16,19,0,3,371,409,
Liberia,0,0,0,17,35,72,124,78,0,134,"1,763","2,099",
Madagascar,13,0,13,134,307,308,749,276,2,407,"2,220","3,667",
Malawi,1,0,1,28,25,35,88,65,0,57,"1,474","1,685",
Mali,0,1,1,6,6,25,37,24,0,8,964,"1,034",
Mauritania,0,1,1,11,18,60,89,50,0,127,"1,423","1,690",
Mauritius,44,0,44,15,40,120,175,115,2,120,"1,367","1,823",
Mayotte,5,0,5,1,15,78,94,106,0,63,"1,109","1,377",
Mozambique,1,0,1,21,42,144,207,180,2,217,"3,044","3,651",
Namibia,1,0,1,8,25,55,88,50,0,108,"1,735","1,982",
Niger,0,1,1,5,5,23,33,23,0,5,722,784,
Nigeria,0,1,1,21,39,104,164,75,0,153,"2,426","2,819",
Réunion,20,0,20,7,24,87,118,100,0,89,"1,198","1,525",
Rwanda,1,0,1,11,11,34,56,34,0,19,"1,003","1,113",
"Saint Helena, Ascension and Tristan da Cunha",28,0,28,31,44,36,111,13,0,55,579,786,
