Country,code,CONTINENT,Mammals,Birds,Reptiles,Amphibians,Fishes,Molluscs,Other Inverts*,Plants,Fungi & Protists*,Total
Malawi,MWI,AFRICA,10,19,4,5,36,7,7,37,0,125
Malaysia,MYS,ASIA,72,63,57,33,118,37,245,812,1,"1,438"
Maldives,NA,ASIA,2,0,3,0,28,0,46,0,0,79
Mali,MLI,AFRICA,14,17,4,0,2,0,0,24,0,61
Malta,NA,EUROPE,2,5,1,0,23,3,2,4,0,40
Marshall Islands,NA,OCEANIA,1,4,4,0,19,1,72,0,0,101
Martinique,NA,NORTH AMERICA,1,6,9,2,27,2,0,9,0,56
Mauritania,MRT,AFRICA,18,19,6,0,43,2,1,0,0,89
Mauritius,NA,AFRICA,7,12,11,0,24,30,91,91,0,266
Mayotte,NA,AFRICA,2,3,7,0,10,0,72,4,0,98
Mexico,MEX,NORTH AMERICA,96,71,101,220,248,8,105,525,4,"1,378"
"Micronesia, Federated States of",NA,OCEANIA,5,12,7,0,25,3,111,5,0,168
Moldova,MDA,ASIA,4,11,2,0,8,2,4,2,0,33
Monaco,NA,EUROPE,3,0,0,0,16,1,2,2,0,24
Mongolia,MNG,ASIA,11,24,0,0,2,0,3,0,2,42
Montenegro,MNE,EUROPE,6,13,4,1,31,22,20,6,1,104
Montserrat,NA,NORTH AMERICA,2,4,4,1,31,0,11,6,0,59
Morocco,MAR,AFRICA,18,18,13,2,52,37,32,52,3,227
Mozambique,MOZ,AFRICA,18,30,14,5,75,0,65,170,0,377
Myanmar,MMR,ASIA,49,56,32,3,57,3,74,63,0,337
Namibia,NAM,AFRICA,15,32,6,0,31,2,2,27,0,115
Nauru,NA,OCEANIA,2,2,0,0,11,0,68,0,0,83
Nepal,NEP,ASIA,29,38,8,3,7,1,2,18,1,107
Netherlands,NLD,EUROPE,3,10,0,0,16,5,6,3,16,59
New Caledonia,NCL,OCEANIA,9,17,54,0,38,28,97,350,0,593
New Zealand,NZL,OCEANIA,9,69,42,3,39,35,26,21,3,247
Nicaragua,NIC,NORTH AMERICA,7,17,9,10,41,2,18,49,0,153
Niger,NER,AFRICA,13,13,3,0,3,1,0,4,0,37
Nigeria,NGA,AFRICA,32,21,13,12,73,3,10,208,0,372
Niue,NA,OCEANIA,1,8,4,0,10,0,30,0,0,53
Norfolk Island,NA,OCEANIA,1,11,2,0,7,12,11,2,0,46
North Macedonia,MKD,EUROPE,6,13,2,0,13,71,15,5,2,127
Northern Mariana Islands,NA,OCEANIA,3,17,4,0,15,4,53,6,0,102
Norway,NOR,EUROPE,8,11,0,0,24,3,7,20,31,104
Oman,OMN,ASIA,10,13,8,0,40,2,29,6,0,108
Pakistan,PAK,ASIA,25,33,12,0,48,0,18,12,0,148
Palau,NA,OCEANIA,4,6,3,0,22,40,106,5,0,186
"Palestine, State of",NA,ASIA,4,15,4,0,2,2,2,10,0,39
Panama,PAN,NORTH AMERICA,16,25,10,52,58,0,22,211,0,394
Papua New Guinea,PNG,OCEANIA,41,39,13,11,62,2,176,184,2,530
Paraguay,PRY,SOUTH AMERICA,10,27,7,0,0,0,0,20,0,64
Peru,PER,SOUTH AMERICA,52,119,26,134,53,4,5,351,0,744
Philippines,PHL,ASIA,36,93,39,27,89,3,237,259,0,783
Pitcairn,NA,OCEANIA,0,10,0,0,9,5,11,7,0,42
Poland,POL,EUROPE,4,11,0,0,8,7,21,16,16,83
Portugal,PRT,EUROPE,13,15,5,1,67,86,119,144,6,456
Puerto Rico,PRI,NORTH AMERICA,2,11,16,14,33,0,0,65,0,141
Qatar,QAT,ASIA,4,9,3,0,21,0,13,0,0,50
Réunion,NA,AFRICA,4,7,0,0,18,17,72,19,0,137
Romania,ROU,EUROPE,10,17,2,0,22,25,42,14,6,138
Russian Federation,RUS,ASIA,34,57,9,0,39,7,31,63,27,267
Rwanda,RWA,AFRICA,23,20,0,2,7,0,4,71,0,127
Saint Barthélemy,NA,NORTH AMERICA,1,0,4,0,23,0,11,2,0,41
"Saint Helena, Ascension and Tristan da Cunha",NA,AFRICA,3,21,2,0,16,1,68,44,1,156
Saint Kitts and Nevis,NA,NORTH AMERICA,2,3,6,1,31,0,10,2,0,55
Saint Lucia,NA,NORTH AMERICA,2,7,8,0,31,0,11,8,0,67
Saint Martin (French part),NA,NORTH AMERICA,2,1,8,0,32,0,10,3,0,56
Saint Pierre and Miquelon,NA,NORTH AMERICA,4,9,0,0,3,0,0,0,0,16
Saint Vincent and the Grenadines,NA,NORTH AMERICA,2,4,8,1,30,0,10,6,0,61
Samoa,NA,OCEANIA,2,6,5,0,17,1,62,2,0,95
San Marino,NA,EUROPE,0,0,0,0,0,1,0,0,0,1
Sao Tome and Principe,NA,AFRICA,4,12,5,3,27,3,1,49,0,104
Saudi Arabia,SAU,ASIA,11,18,3,0,45,1,59,4,0,141
Senegal,SEN,AFRICA,19,19,9,0,59,12,1,20,0,139
Serbia,SRB,EUROPE,6,13,1,0,15,8,27,9,5,84
Seychelles,NA,AFRICA,6,13,11,6,28,37,284,61,0,446
Sierra Leone,SLE,AFRICA,23,16,9,2,60,5,3,111,0,229
Singapore,NA,ASIA,14,22,6,0,35,0,173,62,0,312
Sint Maarten (Dutch part),NA,NORTH AMERICA,2,1,8,0,32,0,10,2,0,55
Slovakia,SVK,EUROPE,4,12,0,0,5,7,25,32,22,107
Slovenia,SVN,EUROPE,6,10,2,2,33,32,51,13,13,162
Solomon Islands,SLB,OCEANIA,20,24,6,2,25,2,148,16,0,243
Somalia,SOM,AFRICA,16,21,6,0,33,2,60,49,0,187
South Africa,ZAF,AFRICA,30,54,20,16,122,22,186,153,0,603
South Georgia and the South Sandwich Islands,NA,ANTARCTICA,3,6,0,0,0,0,0,0,0,9
South Sudan,SDS,AFRICA,14,21,4,0,0,0,1,17,0,57
Spain,ESP,EUROPE,17,19,20,6,80,164,124,279,27,736
Sri Lanka,LKA,ASIA,30,16,12,56,61,0,129,298,0,602
Sudan,SDN,AFRICA,16,26,6,0,34,0,50,19,0,151
Suriname,SUR,SOUTH AMERICA,9,9,6,1,32,0,1,28,0,86
Svalbard and Jan Mayen,NA,EUROPE,4,4,0,0,2,0,0,1,0,11
Sweden,SWE,EUROPE,1,11,0,0,16,4,12,10,31,85
Switzerland,CHE,EUROPE,3,9,0,1,9,10,37,19,24,112
Syrian Arab Republic,SYR,ASIA,14,17,9,0,51,9,13,31,0,144
"Taiwan, Province of China",TWN,ASIA,12,24,9,10,79,1,128,85,2,350
Tajikistan,TJK,ASIA,7,15,5,0,5,0,3,12,1,48
"Tanzania, United Republic of",TZA,AFRICA,40,49,35,61,181,11,136,661,0,"1,174"
Thailand,THA,ASIA,59,62,38,7,109,15,197,168,0,655
Timor-Leste,TLS,ASIA,5,6,3,0,17,0,1,3,0,35
Togo,TGO,AFRICA,14,13,6,2,39,2,1,13,0,90
Tokelau,NA,OCEANIA,0,1,3,0,12,0,35,0,0,51
Tonga,NA,OCEANIA,2,5,5,0,16,4,43,5,0,80
Trinidad and Tobago,TTO,NORTH AMERICA,2,5,7,8,38,0,10,51,0,121
Tunisia,TUN,AFRICA,14,11,6,1,39,7,13,9,1,101
Turkey,TUR,ASIA,19,20,21,10,138,45,41,129,3,426
Turkmenistan,TKM,ASIA,10,19,6,0,13,1,6,4,0,59
Turks and Caicos Islands,NA,NORTH AMERICA,2,4,7,0,31,0,10,9,0,63
Tuvalu,NA,OCEANIA,2,1,3,0,14,1,77,0,0,98
Uganda,UGA,AFRICA,30,30,4,2,60,14,16,83,0,239
Ukraine,UKR,ASIA,11,17,1,0,24,9,29,29,7,127
United Arab Emirates,ARE,ASIA,8,13,4,0,24,0,15,0,0,64
United Kingdom,GBR,EUROPE,5,11,1,0,49,7,13,53,25,164
United States,USA,NORTH AMERICA,40,91,40,56,252,311,270,513,43,"1,616"
United States Minor Outlying Islands,NA,OCEANIA,0,11,2,0,11,0,47,0,0,71
Uruguay,URY,SOUTH AMERICA,9,22,6,5,44,0,2,22,0,110
Uzbekistan,UZB,ASIA,10,19,7,0,7,1,2,16,0,62
Vanuatu,VUT,OCEANIA,8,8,4,0,19,3,88,10,0,140
"Venezuela, Bolivarian Republic of",VEN,SOUTH AMERICA,35,52,26,73,45,1,25,90,0,347
Vietnam,VNM,ASIA,57,52,71,45,85,30,124,236,0,700
"Virgin Islands, British",NA,NORTH AMERICA,1,3,14,2,32,0,10,20,0,82
"Virgin Islands, U.S.",NA,NORTH AMERICA,1,3,14,2,30,0,0,17,0,67
Wallis and Futuna,NA,OCEANIA,0,9,2,0,13,0,64,1,0,89
Western Sahara,ESH,AFRICA,10,5,1,0,31,2,1,0,0,50
Yemen,YEM,ASIA,11,16,7,1,43,2,66,163,0,309
Zambia,ZMB,AFRICA,13,20,3,0,20,12,2,28,0,98
Zimbabwe,ZWE,AFRICA,10,19,4,7,3,0,8,52,0,103
